individual	parent	chromosome	position_chromosome
MG335	mother	chr2	36202001
MG066	mother	chr2	36374243
MG056	mother	chr2	36815078
MG071	mother	chr2	36815167
MG281	mother	chr2	39354886
MG312	mother	chr2	39440575
MG319	mother	chr2	39573471
MG277	mother	chr2	39634785
MG227	mother	chr2	39875866
MG262	mother	chr2	39956919
MG232	mother	chr2	41028770
MG269	father	chr3	1355992
MG291	father	chr3	1355992
MG331	mother	chr3	1355992
MG332	father	chr3	1355992
MG332	mother	chr3	1355992
MG316	mother	chr3	1371841
MG245	father	chr3	1719297
MG245	mother	chr3	1719297
MG256	mother	chr3	13121256
MG241	father	chr3	20451886
MG110	mother	chr3	20451897
MG277	mother	chr3	26057984
MG070	mother	chr3	26737547
MG070	mother	chr3	28366145
MG336	father	chr3	29637288
MG336	mother	chr3	29637288
MG052	mother	chr3	29662011
MG051	mother	chr3	29918018
MG055	mother	chr3	29918018
MG057	mother	chr3	29918018
MG062	mother	chr3	29918018
MG064	mother	chr3	29918018
MG066	mother	chr3	29918018
MG067	mother	chr3	29918018
MG068	mother	chr3	29918018
MG075	mother	chr3	29918018
MG077	mother	chr3	29918018
MG078	mother	chr3	29918018
MG082	mother	chr3	29918018
MG340	father	chr3	32391625
MG321	father	chr3	32441548
MG113	mother	chr3	32857697
MG080	father	chr3	32997287
MG326	mother	chr4	257487
MG324	father	chr4	459008
MG264	mother	chr4	530970
MG058	mother	chr4	568278
MG054	mother	chr4	833696
MG262	mother	chr4	841570
MG051	mother	chr4	930264
MG284	mother	chr4	1118462
MG307	mother	chr4	1118462
MG285	mother	chr4	1118599
MG244	mother	chr4	1245421
MG260	mother	chr4	1256663
MG136	mother	chr4	1281992
MG139	mother	chr4	1281992
MG322	father	chr4	1450629
MG222	father	chr4	1673504
MG293	father	chr4	2143547
MG293	mother	chr4	2143547
MG338	father	chr4	2143547
MG338	mother	chr4	2143547
MG226	mother	chr4	2252211
MG239	mother	chr4	2252211
MG242	mother	chr4	2252211
MG279	mother	chr4	2252211
MG067	mother	chr4	2514556
MG069	mother	chr4	2514556
MG299	father	chr4	2849487
MG072	mother	chr4	4167508
MG269	mother	chr4	4240864
MG224	mother	chr4	4935741
MG309	father	chr4	4985615
MG340	mother	chr4	6301536
MG254	father	chr4	6603776
MG076	mother	chr4	6801369
MG080	mother	chr4	6801369
MG062	mother	chr4	6865034
MG066	mother	chr4	6865034
MG075	mother	chr4	6865034
MG078	mother	chr4	6865034
MG319	mother	chr4	7982831
MG241	father	chr4	8529461
MG289	mother	chr4	9735697
MG325	mother	chr4	10098896
MG267	mother	chr4	16993673
MG288	mother	chr4	22401610
MG327	mother	chr4	22401610
MG079	mother	chr4	22555862
MG318	mother	chr4	22937448
MG253	mother	chr4	22989386
MG323	mother	chr4	24975386
MG077	mother	chr4	25520526
MG127	mother	chr4	25600478
MG126	mother	chr4	25726206
MG274	mother	chr4	27673195
MG246	mother	chr4	28128997
MG296	mother	chr4	28981728
MG332	father	chr4	29273573
MG315	father	chr4	29847327
MG335	mother	chr4	30130368
MG256	father	chr4	30354265
MG287	mother	chr5	328932
MG301	father	chr5	531640
MG252	father	chr5	726488
MG069	mother	chr5	729715
MG245	mother	chr5	761603
MG261	father	chr5	851174
MG261	mother	chr5	851174
MG308	father	chr5	851174
MG229	father	chr5	851927
MG124	father	chr5	1228256
MG123	mother	chr5	1231060
MG257	mother	chr5	1363876
MG309	mother	chr5	1395728
MG277	mother	chr5	1513905
MG283	mother	chr5	1580513
MG260	mother	chr5	1909552
MG112	father	chr5	1921900
MG321	mother	chr5	1997379
MG124	mother	chr5	1998562
MG129	mother	chr5	1998562
MG137	mother	chr5	1998562
MG057	mother	chr5	2180046
MG237	father	chr5	2425272
MG304	mother	chr5	2911275
MG317	mother	chr5	2911275
MG323	mother	chr5	2911275
MG315	father	chr5	3139739
MG243	father	chr5	3493367
MG113	mother	chr5	3632153
MG120	mother	chr5	3632153
MG125	mother	chr5	3632153
MG128	mother	chr5	3632153
MG133	mother	chr5	3632153
MG135	mother	chr5	4319465
MG274	father	chr5	5027057
MG274	mother	chr5	5027057
MG051	mother	chr5	5447623
MG054	mother	chr5	5447623
MG073	mother	chr5	6873712
MG259	mother	chr5	8221280
MG234	father	chr5	8486173
MG234	mother	chr5	8486173
MG303	mother	chr5	8741616
MG258	mother	chr5	9346310
MG286	mother	chr5	10325604
MG058	mother	chr5	13363017
MG055	mother	chr5	20216147
MG241	mother	chr5	21536641
MG052	mother	chr5	26269019
MG063	mother	chr5	26269019
MG068	mother	chr5	26269019
MG082	mother	chr5	26269019
MG318	mother	chr5	26805465
MG296	mother	chr5	27011916
MG231	mother	chr5	27437699
MG286	mother	chr5	27440429
MG327	mother	chr5	27440429
MG333	father	chr5	27486762
MG336	mother	chr5	27590154
MG327	father	chr5	27779504
MG331	mother	chr5	28975243
MG290	mother	chr5	29671018
MG264	father	chr5	29683375
MG264	mother	chr5	29683375
MG285	mother	chr5	29810112
MG228	father	chr5	30055912
MG335	mother	chr6	4103495
MG254	mother	chr6	4293452
MG277	mother	chr6	4349981
MG297	mother	chr6	4574824
MG255	mother	chr6	4933800
MG258	mother	chr6	4984020
MG253	mother	chr6	5447846
MG269	mother	chr6	5447846
MG287	mother	chr6	5916164
MG275	mother	chr6	6164446
MG230	mother	chr6	6340225
MG062	mother	chr6	6439222
MG069	mother	chr6	6441615
MG324	mother	chr6	6447498
MG266	mother	chr6	6486636
MG227	mother	chr6	6802593
MG068	mother	chr6	6803675
MG268	mother	chr6	6934216
MG129	mother	chr6	7255916
MG300	mother	chr6	7593059
MG078	mother	chr6	7640177
MG241	mother	chr6	10299914
MG263	mother	chr6	10941693
MG051	mother	chr6	11270260
MG063	mother	chr6	11270260
MG077	mother	chr6	11270260
MG222	mother	chr6	11284895
MG248	mother	chr6	21819402
MG071	mother	chr6	21828754
MG135	mother	chr6	23112880
MG281	mother	chr6	23112880
MG244	mother	chr6	27850581
MG258	mother	chr7	257363
MG135	mother	chr7	877743
MG141	mother	chr7	3119438
MG223	father	chr7	3245088
MG223	mother	chr7	3245088
MG127	mother	chr7	3427104
MG269	mother	chr7	6718034
MG137	mother	chr7	15238296
MG139	father	chr7	15238296
MG230	father	chr7	15238296
MG118	mother	chr7	16512653
MG071	father	chr7	16698780
MG061	father	chr7	17802256
MG066	father	chr7	17802256
MG286	mother	chr7	17802256
MG291	mother	chr7	17802256
MG308	mother	chr7	17802256
MG316	mother	chr7	17802256
MG317	mother	chr7	17802256
MG337	mother	chr7	17802256
MG338	mother	chr7	17802256
MG339	mother	chr7	17802256
MG128	mother	chr7	17858532
MG130	mother	chr7	17858532
MG133	mother	chr7	17858532
MG136	mother	chr7	17858532
MG140	mother	chr7	17858532
MG061	mother	chr7	19548102
MG066	mother	chr7	19548102
MG077	mother	chr7	19548102
MG262	mother	chr7	19608107
MG222	mother	chr7	19866601
MG237	mother	chr7	19866601
MG244	father	chr7	19866601
MG257	mother	chr7	19866601
MG276	mother	chr7	20655118
MG068	mother	chr7	20892880
MG226	mother	chr7	21185166
MG281	father	chr7	21185166
MG243	father	chr7	21889482
MG280	father	chr7	21889482
MG251	mother	chr7	21912698
MG052	mother	chr7	21935300
MG054	mother	chr7	21935300
MG056	mother	chr7	21935300
MG058	mother	chr7	21935300
MG060	mother	chr7	21935300
MG063	mother	chr7	21935300
MG282	mother	chr7	22218355
MG297	mother	chr7	22218355
MG310	mother	chr7	22218355
MG325	mother	chr7	22218355
MG326	mother	chr7	22218355
MG270	father	chr7	22298777
MG264	father	chr7	22491778
MG138	mother	chr7	22560333
MG067	mother	chr7	22736765
MG250	mother	chr7	22951182
MG072	mother	chr8	957423
MG053	father	chr8	5068368
MG112	mother	chr8	6040844
MG249	mother	chr8	6040844
MG248	mother	chr8	9433303
MG224	mother	chr8	9516040
MG225	mother	chr8	9516040
MG242	mother	chr8	9516040
MG243	mother	chr8	9516040
MG244	mother	chr8	9516040
MG246	mother	chr8	9516040
MG247	mother	chr8	9516040
MG256	mother	chr8	9516040
MG261	mother	chr8	9516040
MG275	mother	chr8	9516040
MG110	mother	chr8	9692642
MG311	mother	chr8	9692642
MG327	father	chr8	9692642
MG327	mother	chr8	9692642
MG063	mother	chr8	16434795
MG061	mother	chr8	16680999
MG254	mother	chr8	17110014
MG234	mother	chr8	17214286
