LG,infMask,window_start,window_end,rec_rate,physical_length,relative_position
chr1,male map,18000000,19000000,0,54558368,0.339086389094337
chr1,male map,19000000,20000000,0.558999999999999,54558368,0.357415383099436
chr1,male map,20000000,21000000,0,54558368,0.375744377104535
chr1,male map,21000000,22000000,0,54558368,0.394073371109634
chr1,male map,22000000,23000000,0,54558368,0.412402365114734
chr1,male map,23000000,24000000,2.235,54558368,0.430731359119833
chr1,male map,24000000,25000000,0,54558368,0.449060353124932
chr1,male map,25000000,26000000,0,54558368,0.467389347130031
chr1,male map,26000000,27000000,0,54558368,0.485718341135131
chr1,male map,27000000,28000000,1.117,54558368,0.50404733514023
chr1,male map,28000000,29000000,0.558999999999999,54558368,0.522376329145329
chr1,male map,29000000,30000000,1.117,54558368,0.540705323150429
chr1,male map,30000000,31000000,0,54558368,0.559034317155528
chr1,male map,31000000,32000000,0,54558368,0.577363311160627
chr1,male map,32000000,33000000,0,54558368,0.595692305165726
chr1,male map,33000000,34000000,1.117,54558368,0.614021299170826
chr1,male map,34000000,35000000,0,54558368,0.632350293175925
chr1,male map,35000000,36000000,0,54558368,0.650679287181024
chr1,male map,36000000,37000000,0,54558368,0.669008281186123
chr1,male map,37000000,38000000,0,54558368,0.687337275191223
chr1,male map,38000000,39000000,0,54558368,0.705666269196322
chr1,male map,39000000,40000000,0,54558368,0.723995263201421
chr1,male map,40000000,41000000,0,54558368,0.742324257206521
chr1,male map,41000000,42000000,0,54558368,0.76065325121162
chr1,male map,42000000,43000000,0,54558368,0.778982245216719
chr1,male map,43000000,44000000,0,54558368,0.797311239221818
chr1,male map,44000000,45000000,0.558,54558368,0.815640233226918
chr1,male map,45000000,46000000,0,54558368,0.833969227232017
chr1,male map,46000000,47000000,0.558999999999999,54558368,0.852298221237116
chr1,male map,47000000,48000000,0.558,54558368,0.870627215242215
chr1,male map,49000000,50000000,5.028,54558368,0.907285203252414
chr1,male map,50000000,51000000,2.235,54558368,0.925614197257513
chr1,male map,51000000,52000000,0,54558368,0.943943191262613
chr1,male map,52000000,53000000,0,54558368,0.962272185267712
chr1,male map,53000000,54000000,1.117,54558368,0.980601179272811
chr1,male map,54000000,54558368,0,54558368,0.99488283813768
chr2,male map,0,1000000,0,42067943,0.0118855347883304
chr2,male map,1000000,2000000,2.793,42067943,0.0356566043649912
chr2,male map,2000000,3000000,0,42067943,0.059427673941652
chr2,male map,3000000,4000000,0.559,42067943,0.0831987435183127
chr2,male map,4000000,5000000,0,42067943,0.106969813094974
chr2,male map,5000000,6000000,0,42067943,0.130740882671634
chr2,male map,6000000,7000000,0.559,42067943,0.154511952248295
chr2,male map,7000000,8000000,0.558,42067943,0.178283021824956
chr2,male map,8000000,9000000,0,42067943,0.202054091401617
chr2,male map,9000000,10000000,0,42067943,0.225825160978277
chr2,male map,10000000,11000000,0,42067943,0.249596230554938
chr2,male map,11000000,12000000,1.118,42067943,0.273367300131599
chr2,male map,12000000,13000000,0,42067943,0.29713836970826
chr2,male map,24000000,25000000,0,42067943,0.582391204628189
chr2,male map,27000000,28000000,0,42067943,0.653704413358172
chr2,male map,28000000,29000000,0,42067943,0.677475482934832
chr2,male map,29000000,30000000,0,42067943,0.701246552511493
chr2,male map,30000000,31000000,0,42067943,0.725017622088154
chr2,male map,31000000,32000000,0,42067943,0.748788691664815
chr2,male map,32000000,33000000,0,42067943,0.772559761241476
chr2,male map,33000000,34000000,0,42067943,0.796330830818136
chr2,male map,34000000,35000000,0,42067943,0.820101900394797
chr2,male map,35000000,36000000,0,42067943,0.843872969971458
chr2,male map,36000000,37000000,1.118,42067943,0.867644039548119
chr2,male map,37000000,38000000,0,42067943,0.891415109124779
chr2,male map,38000000,39000000,0,42067943,0.91518617870144
chr2,male map,39000000,40000000,0,42067943,0.938957248278101
chr2,male map,40000000,41000000,0,42067943,0.962728317854762
chr2,male map,41000000,42000000,0,42067943,0.986499387431423
chr2,male map,42000000,42067943,0,42067943,0.999192461109876
chr2,female map,0,1000000,1.117,42067943,0.0118855347883304
chr2,female map,1000000,2000000,5.028,42067943,0.0356566043649912
chr2,female map,2000000,3000000,0,42067943,0.059427673941652
chr2,female map,3000000,4000000,0.559,42067943,0.0831987435183127
chr2,female map,4000000,5000000,1.117,42067943,0.106969813094974
chr2,female map,5000000,6000000,0,42067943,0.130740882671634
chr2,female map,6000000,7000000,1.676,42067943,0.154511952248295
chr2,female map,7000000,8000000,1.676,42067943,0.178283021824956
chr2,female map,8000000,9000000,0,42067943,0.202054091401617
chr2,female map,9000000,10000000,1.117,42067943,0.225825160978277
chr2,female map,10000000,11000000,0.558999999999999,42067943,0.249596230554938
chr2,female map,11000000,12000000,2.235,42067943,0.273367300131599
chr2,female map,12000000,13000000,1.117,42067943,0.29713836970826
chr2,female map,24000000,25000000,0,42067943,0.582391204628189
chr2,female map,27000000,28000000,0,42067943,0.653704413358172
chr2,female map,28000000,29000000,0,42067943,0.677475482934832
chr2,female map,29000000,30000000,0,42067943,0.701246552511493
chr2,female map,30000000,31000000,0,42067943,0.725017622088154
chr2,female map,31000000,32000000,0,42067943,0.748788691664815
chr2,female map,32000000,33000000,0,42067943,0.772559761241476
chr2,female map,33000000,34000000,1.118,42067943,0.796330830818136
chr2,female map,34000000,35000000,0,42067943,0.820101900394797
chr2,female map,35000000,36000000,0,42067943,0.843872969971458
chr2,female map,36000000,37000000,2.234,42067943,0.867644039548119
chr2,female map,37000000,38000000,0,42067943,0.891415109124779
chr2,female map,38000000,39000000,0,42067943,0.91518617870144
chr2,female map,39000000,40000000,3.352,42067943,0.938957248278101
chr2,female map,40000000,41000000,0,42067943,0.962728317854762
chr2,female map,41000000,42000000,0.559000000000001,42067943,0.986499387431423
chr2,female map,42000000,42067943,0,42067943,0.999192461109876
chr3,male map,0,1000000,0,33168691,0.0150744568122993
chr3,male map,1000000,2000000,0.559,33168691,0.0452233704368979
chr3,male map,2000000,3000000,0,33168691,0.0753722840614964
chr3,male map,3000000,4000000,0,33168691,0.105521197686095
chr3,male map,4000000,5000000,0,33168691,0.135670111310694
chr3,male map,5000000,6000000,0,33168691,0.165819024935292
chr3,male map,6000000,7000000,0,33168691,0.195967938559891
chr3,male map,7000000,8000000,0,33168691,0.226116852184489
chr3,male map,8000000,9000000,0,33168691,0.256265765809088
chr3,male map,9000000,10000000,0,33168691,0.286414679433686
chr3,male map,10000000,11000000,0,33168691,0.316563593058285
chr3,male map,11000000,12000000,0,33168691,0.346712506682884
chr3,male map,12000000,13000000,0,33168691,0.376861420307482
chr3,male map,13000000,14000000,0.558,33168691,0.407010333932081
chr3,male map,14000000,15000000,0,33168691,0.437159247556679
chr3,male map,15000000,16000000,0,33168691,0.467308161181278
chr3,male map,18000000,19000000,0,33168691,0.557754902055074
chr3,male map,19000000,20000000,0,33168691,0.587903815679672
chr3,male map,20000000,21000000,0.559,33168691,0.618052729304271
chr3,male map,21000000,22000000,0,33168691,0.648201642928869
chr3,male map,22000000,23000000,0,33168691,0.678350556553468
chr3,male map,23000000,24000000,0,33168691,0.708499470178066
chr3,male map,24000000,25000000,0,33168691,0.738648383802665
chr3,male map,25000000,26000000,0,33168691,0.768797297427264
chr3,male map,26000000,27000000,0,33168691,0.798946211051862
chr3,male map,27000000,28000000,0,33168691,0.829095124676461
chr3,male map,28000000,29000000,0,33168691,0.859244038301059
chr3,male map,29000000,30000000,0.559,33168691,0.889392951925658
chr3,male map,30000000,31000000,0,33168691,0.919541865550256
chr3,male map,31000000,32000000,0,33168691,0.949690779174855
chr3,male map,32000000,33000000,2.509,33168691,0.979839692799454
chr3,female map,0,1000000,1.351,33168691,0.0150744568122993
chr3,female map,1000000,2000000,1.351,33168691,0.0452233704368979
chr3,female map,2000000,3000000,0,33168691,0.0753722840614964
chr3,female map,3000000,4000000,0,33168691,0.105521197686095
chr3,female map,4000000,5000000,0,33168691,0.135670111310694
chr3,female map,5000000,6000000,0,33168691,0.165819024935292
chr3,female map,6000000,7000000,0,33168691,0.195967938559891
chr3,female map,7000000,8000000,0,33168691,0.226116852184489
chr3,female map,8000000,9000000,0,33168691,0.256265765809088
chr3,female map,9000000,10000000,0,33168691,0.286414679433686
chr3,female map,10000000,11000000,0,33168691,0.316563593058285
chr3,female map,11000000,12000000,0,33168691,0.346712506682884
chr3,female map,12000000,13000000,0,33168691,0.376861420307482
chr3,female map,13000000,14000000,0.675999999999999,33168691,0.407010333932081
chr3,female map,14000000,15000000,0,33168691,0.437159247556679
chr3,female map,15000000,16000000,0,33168691,0.467308161181278
chr3,female map,18000000,19000000,0,33168691,0.557754902055074
chr3,female map,19000000,20000000,0,33168691,0.587903815679672
chr3,female map,20000000,21000000,0.675000000000001,33168691,0.618052729304271
chr3,female map,21000000,22000000,0,33168691,0.648201642928869
chr3,female map,22000000,23000000,0,33168691,0.678350556553468
chr3,female map,23000000,24000000,0,33168691,0.708499470178066
chr3,female map,24000000,25000000,0,33168691,0.738648383802665
chr3,female map,25000000,26000000,0,33168691,0.768797297427264
chr3,female map,26000000,27000000,1.235,33168691,0.798946211051862
chr3,female map,27000000,28000000,0,33168691,0.829095124676461
chr3,female map,28000000,29000000,0.558,33168691,0.859244038301059
chr3,female map,29000000,30000000,7.822,33168691,0.889392951925658
chr3,female map,30000000,31000000,0,33168691,0.919541865550256
chr3,female map,31000000,32000000,0,33168691,0.949690779174855
chr3,female map,32000000,33000000,2.027,33168691,0.979839692799454
chr4,male map,0,1000000,2.235,30543443,0.0163701256600312
chr4,male map,1000000,2000000,3.91,30543443,0.0491103769800936
chr4,male map,2000000,3000000,4.47,30543443,0.081850628300156
chr4,male map,3000000,4000000,0,30543443,0.114590879620218
chr4,male map,4000000,5000000,1.117,30543443,0.147331130940281
chr4,male map,5000000,6000000,0,30543443,0.180071382260343
chr4,male map,6000000,7000000,0.558,30543443,0.212811633580405
chr4,male map,7000000,8000000,0,30543443,0.245551884900468
chr4,male map,8000000,9000000,0.559000000000001,30543443,0.27829213622053
chr4,male map,9000000,10000000,0,30543443,0.311032387540593
chr4,male map,10000000,11000000,0,30543443,0.343772638860655
chr4,male map,11000000,12000000,0,30543443,0.376512890180717
chr4,male map,14000000,15000000,0,30543443,0.474733644140904
chr4,male map,15000000,16000000,0,30543443,0.507473895460967
chr4,male map,16000000,17000000,0.558999999999999,30543443,0.540214146781029
chr4,male map,17000000,18000000,0,30543443,0.572954398101092
chr4,male map,18000000,19000000,0,30543443,0.605694649421154
chr4,male map,19000000,20000000,0,30543443,0.638434900741216
chr4,male map,20000000,21000000,0,30543443,0.671175152061279
chr4,male map,21000000,22000000,0,30543443,0.703915403381341
chr4,male map,22000000,23000000,0,30543443,0.736655654701403
chr4,male map,23000000,24000000,0,30543443,0.769395906021466
chr4,male map,24000000,25000000,0,30543443,0.802136157341528
chr4,male map,25000000,26000000,0,30543443,0.834876408661591
chr4,male map,26000000,27000000,0,30543443,0.867616659981653
chr4,male map,27000000,28000000,0,30543443,0.900356911301715
chr4,male map,28000000,29000000,0,30543443,0.933097162621778
chr4,male map,29000000,30000000,1.117,30543443,0.96583741394184
chr4,male map,30000000,30543443,1.25128118312316,30543443,0.991103769800936
chr4,female map,0,1000000,4.586,30543443,0.0163701256600312
chr4,female map,1000000,2000000,2.793,30543443,0.0491103769800936
chr4,female map,2000000,3000000,3.352,30543443,0.081850628300156
chr4,female map,3000000,4000000,0,30543443,0.114590879620218
chr4,female map,4000000,5000000,1.676,30543443,0.147331130940281
chr4,female map,5000000,6000000,0,30543443,0.180071382260343
chr4,female map,6000000,7000000,3.911,30543443,0.212811633580405
chr4,female map,7000000,8000000,0.558,30543443,0.245551884900468
chr4,female map,8000000,9000000,0,30543443,0.27829213622053
chr4,female map,9000000,10000000,0.559000000000001,30543443,0.311032387540593
chr4,female map,10000000,11000000,0.558999999999997,30543443,0.343772638860655
chr4,female map,11000000,12000000,0,30543443,0.376512890180717
chr4,female map,14000000,15000000,0,30543443,0.474733644140904
chr4,female map,15000000,16000000,0,30543443,0.507473895460967
chr4,female map,16000000,17000000,0.558,30543443,0.540214146781029
chr4,female map,17000000,18000000,0,30543443,0.572954398101092
chr4,female map,18000000,19000000,0,30543443,0.605694649421154
chr4,female map,19000000,20000000,0,30543443,0.638434900741216
chr4,female map,20000000,21000000,0,30543443,0.671175152061279
chr4,female map,21000000,22000000,0,30543443,0.703915403381341
chr4,female map,22000000,23000000,1.676,30543443,0.736655654701403
chr4,female map,23000000,24000000,0,30543443,0.769395906021466
chr4,female map,24000000,25000000,0.558,30543443,0.802136157341528
chr4,female map,25000000,26000000,1.676,30543443,0.834876408661591
chr4,female map,26000000,27000000,0,30543443,0.867616659981653
chr4,female map,27000000,28000000,0.558999999999997,30543443,0.900356911301715
chr4,female map,28000000,29000000,0.558,30543443,0.933097162621778
chr4,female map,29000000,30000000,0,30543443,0.96583741394184
chr4,female map,30000000,30543443,3.08404009252121,30543443,0.991103769800936
chr5,male map,0,1000000,3.352,30370256,0.0164634766331901
chr5,male map,1000000,2000000,7.263,30370256,0.0493904298995702
chr5,male map,2000000,3000000,0.558,30370256,0.0823173831659503
chr5,male map,3000000,4000000,2.235,30370256,0.11524433643233
chr5,male map,4000000,5000000,1.117,30370256,0.14817128969871
chr5,male map,5000000,6000000,1.117,30370256,0.181098242965091
chr5,male map,6000000,7000000,1.118,30370256,0.214025196231471
chr5,male map,7000000,8000000,0,30370256,0.246952149497851
chr5,male map,8000000,9000000,0.558,30370256,0.279879102764231
chr5,male map,9000000,10000000,0,30370256,0.312806056030611
chr5,male map,10000000,11000000,0,30370256,0.345733009296991
chr5,male map,11000000,12000000,0,30370256,0.378659962563371
chr5,male map,12000000,13000000,1.118,30370256,0.411586915829751
chr5,male map,13000000,14000000,0,30370256,0.444513869096131
chr5,male map,14000000,15000000,0,30370256,0.477440822362512
chr5,male map,15000000,16000000,0,30370256,0.510367775628892
chr5,male map,16000000,17000000,0,30370256,0.543294728895272
chr5,male map,17000000,18000000,0,30370256,0.576221682161652
chr5,male map,18000000,19000000,0.558,30370256,0.609148635428032
chr5,male map,19000000,20000000,0,30370256,0.642075588694412
chr5,male map,20000000,21000000,0,30370256,0.675002541960792
chr5,male map,21000000,22000000,0.559000000000001,30370256,0.707929495227172
chr5,male map,22000000,23000000,0.558999999999997,30370256,0.740856448493552
chr5,male map,23000000,24000000,0,30370256,0.773783401759932
chr5,male map,24000000,25000000,0,30370256,0.806710355026313
chr5,male map,25000000,26000000,1.676,30370256,0.839637308292693
chr5,male map,26000000,27000000,2.234,30370256,0.872564261559073
chr5,male map,27000000,28000000,2.235,30370256,0.905491214825453
chr5,male map,28000000,29000000,1.117,30370256,0.938418168091833
chr5,male map,29000000,30000000,1.239,30370256,0.971345121358213
chr5,male map,30000000,30370256,1.83926796594789,30370256,0.993904298995702
chr5,female map,0,1000000,2.793,30370256,0.0164634766331901
chr5,female map,1000000,2000000,5.587,30370256,0.0493904298995702
chr5,female map,2000000,3000000,2.235,30370256,0.0823173831659503
chr5,female map,3000000,4000000,2.793,30370256,0.11524433643233
chr5,female map,4000000,5000000,0.558,30370256,0.14817128969871
chr5,female map,5000000,6000000,1.676,30370256,0.181098242965091
chr5,female map,6000000,7000000,0.559000000000001,30370256,0.214025196231471
chr5,female map,7000000,8000000,0,30370256,0.246952149497851
chr5,female map,8000000,9000000,1.676,30370256,0.279879102764231
chr5,female map,9000000,10000000,0.559000000000001,30370256,0.312806056030611
chr5,female map,10000000,11000000,0.558,30370256,0.345733009296991
chr5,female map,11000000,12000000,0,30370256,0.378659962563371
chr5,female map,12000000,13000000,0,30370256,0.411586915829751
chr5,female map,13000000,14000000,0.559000000000001,30370256,0.444513869096131
chr5,female map,14000000,15000000,0,30370256,0.477440822362512
chr5,female map,15000000,16000000,0,30370256,0.510367775628892
chr5,female map,16000000,17000000,0,30370256,0.543294728895272
chr5,female map,17000000,18000000,0,30370256,0.576221682161652
chr5,female map,18000000,19000000,0,30370256,0.609148635428032
chr5,female map,19000000,20000000,0,30370256,0.642075588694412
chr5,female map,20000000,21000000,0.558999999999997,30370256,0.675002541960792
chr5,female map,21000000,22000000,0.558000000000003,30370256,0.707929495227172
chr5,female map,22000000,23000000,0,30370256,0.740856448493552
chr5,female map,23000000,24000000,0,30370256,0.773783401759932
chr5,female map,24000000,25000000,0,30370256,0.806710355026313
chr5,female map,25000000,26000000,0,30370256,0.839637308292693
chr5,female map,26000000,27000000,2.794,30370256,0.872564261559073
chr5,female map,27000000,28000000,2.235,30370256,0.905491214825453
chr5,female map,28000000,29000000,1.117,30370256,0.938418168091833
chr5,female map,29000000,30000000,4.956,30370256,0.971345121358213
chr5,female map,30000000,30370256,3.67583509787824,30370256,0.993904298995702
chr6,female map,0,1000000,0,29702001,0.0168338826734266
chr6,female map,1000000,2000000,0.559,29702001,0.0505016480202798
chr6,female map,2000000,3000000,1.117,29702001,0.0841694133671331
chr6,female map,3000000,4000000,0,29702001,0.117837178713986
chr6,female map,4000000,5000000,5.028,29702001,0.15150494406084
chr6,female map,5000000,6000000,2.793,29702001,0.185172709407693
chr6,female map,6000000,7000000,5.586,29702001,0.218840474754546
chr6,female map,7000000,8000000,2.793,29702001,0.252508240101399
chr6,female map,10000000,11000000,1.117,29702001,0.353511536141959
chr6,female map,11000000,12000000,0.558999999999997,29702001,0.387179301488812
chr6,female map,12000000,13000000,0,29702001,0.420847066835665
chr6,female map,13000000,14000000,0,29702001,0.454514832182519
chr6,female map,14000000,15000000,0,29702001,0.488182597529372
chr6,female map,15000000,16000000,0.558,29702001,0.521850362876225
chr6,female map,16000000,17000000,0,29702001,0.555518128223078
chr6,female map,17000000,18000000,1.118,29702001,0.589185893569932
chr6,female map,18000000,19000000,0,29702001,0.622853658916785
chr6,female map,19000000,20000000,0,29702001,0.656521424263638
chr6,female map,20000000,21000000,0,29702001,0.690189189610491
chr6,female map,21000000,22000000,1.117,29702001,0.723856954957344
chr6,female map,22000000,23000000,0,29702001,0.757524720304198
chr6,female map,23000000,24000000,0,29702001,0.791192485651051
chr6,female map,25000000,26000000,1.117,29702001,0.858528016344757
chr6,female map,27000000,28000000,0.676000000000002,29702001,0.925863547038464
chr6,female map,28000000,29000000,0,29702001,0.959531312385317
chr6,female map,29000000,29702001,0,29702001,0.988182597529372
chr7,male map,0,1000000,0.559,23405973,0.0213620685625844
chr7,male map,1000000,2000000,0,23405973,0.0640862056877533
chr7,male map,2000000,3000000,0,23405973,0.106810342812922
chr7,male map,3000000,4000000,0.558,23405973,0.149534479938091
chr7,male map,4000000,5000000,0,23405973,0.19225861706326
chr7,male map,5000000,6000000,0,23405973,0.234982754188429
chr7,male map,6000000,7000000,0,23405973,0.277706891313598
chr7,male map,7000000,8000000,0,23405973,0.320431028438766
chr7,male map,8000000,9000000,0,23405973,0.363155165563935
chr7,male map,9000000,10000000,0,23405973,0.405879302689104
chr7,male map,10000000,11000000,0,23405973,0.448603439814273
chr7,male map,11000000,12000000,0,23405973,0.491327576939442
chr7,male map,12000000,13000000,0,23405973,0.534051714064611
chr7,male map,13000000,14000000,0,23405973,0.57677585118978
chr7,male map,14000000,15000000,0,23405973,0.619499988314948
chr7,male map,15000000,16000000,1.118,23405973,0.662224125440117
chr7,male map,16000000,17000000,2.234,23405973,0.704948262565286
chr7,male map,17000000,18000000,0,23405973,0.747672399690455
chr7,male map,18000000,19000000,0,23405973,0.790396536815624
chr7,male map,19000000,20000000,1.676,23405973,0.833120673940793
chr7,male map,20000000,21000000,2.234,23405973,0.875844811065962
chr7,male map,21000000,22000000,1.117,23405973,0.918568948191131
chr7,male map,22000000,23000000,1.117,23405973,0.961293085316299
chr7,male map,23000000,23405973,0,23405973,0.991327576939442
chr7,female map,0,1000000,2.793,23405973,0.0213620685625844
chr7,female map,1000000,2000000,0.559,23405973,0.0640862056877533
chr7,female map,2000000,3000000,0,23405973,0.106810342812922
chr7,female map,3000000,4000000,1.676,23405973,0.149534479938091
chr7,female map,4000000,5000000,0,23405973,0.19225861706326
chr7,female map,5000000,6000000,0,23405973,0.234982754188429
chr7,female map,6000000,7000000,0.559,23405973,0.277706891313598
chr7,female map,7000000,8000000,0,23405973,0.320431028438766
chr7,female map,8000000,9000000,0,23405973,0.363155165563935
chr7,female map,9000000,10000000,0,23405973,0.405879302689104
chr7,female map,10000000,11000000,0,23405973,0.448603439814273
chr7,female map,11000000,12000000,0,23405973,0.491327576939442
chr7,female map,12000000,13000000,0,23405973,0.534051714064611
chr7,female map,13000000,14000000,0,23405973,0.57677585118978
chr7,female map,14000000,15000000,0,23405973,0.619499988314948
chr7,female map,15000000,16000000,0.558,23405973,0.662224125440117
chr7,female map,16000000,17000000,0.559,23405973,0.704948262565286
chr7,female map,17000000,18000000,2.793,23405973,0.747672399690455
chr7,female map,18000000,19000000,0,23405973,0.790396536815624
chr7,female map,19000000,20000000,3.911,23405973,0.833120673940793
chr7,female map,20000000,21000000,1.117,23405973,0.875844811065962
chr7,female map,21000000,22000000,3.911,23405973,0.918568948191131
chr7,female map,22000000,23000000,4.469,23405973,0.961293085316299
chr7,female map,23000000,23405973,0,23405973,0.991327576939442
chr8,female map,0,1000000,0.559,18198680,0.0274745201300314
chr8,female map,1000000,2000000,0,18198680,0.0824235603900942
chr8,female map,2000000,3000000,0,18198680,0.137372600650157
chr8,female map,3000000,4000000,0,18198680,0.19232164091022
chr8,female map,4000000,5000000,0,18198680,0.247270681170283
chr8,female map,5000000,6000000,0,18198680,0.302219721430345
chr8,female map,6000000,7000000,0,18198680,0.357168761690408
chr8,female map,7000000,8000000,0,18198680,0.412117801950471
chr8,female map,8000000,9000000,0,18198680,0.467066842210534
chr8,female map,9000000,10000000,7.821,18198680,0.522015882470597
chr8,female map,10000000,11000000,0,18198680,0.57696492273066
chr8,female map,11000000,12000000,0,18198680,0.631913962990722
chr8,female map,12000000,13000000,0,18198680,0.686863003250785
chr8,female map,13000000,14000000,0,18198680,0.741812043510848
chr8,female map,14000000,15000000,0,18198680,0.796761083770911
chr8,female map,15000000,16000000,0,18198680,0.851710124030974
chr8,female map,16000000,17000000,1.118,18198680,0.906659164291037
chr8,female map,17000000,18000000,1.36,18198680,0.961608204551099
chr8,male map,0,1000000,0.559,18198680,0.0274745201300314
chr8,male map,1000000,2000000,0,18198680,0.0824235603900942
chr8,male map,2000000,3000000,0,18198680,0.137372600650157
chr8,male map,3000000,4000000,0,18198680,0.19232164091022
chr8,male map,4000000,5000000,0,18198680,0.247270681170283
chr8,male map,5000000,6000000,0.558,18198680,0.302219721430345
chr8,male map,6000000,7000000,0.559,18198680,0.357168761690408
chr8,male map,7000000,8000000,0,18198680,0.412117801950471
chr8,male map,8000000,9000000,0,18198680,0.467066842210534
chr8,male map,9000000,10000000,6.704,18198680,0.522015882470597
chr8,male map,10000000,11000000,0.558999999999999,18198680,0.57696492273066
chr8,male map,11000000,12000000,0,18198680,0.631913962990722
chr8,male map,12000000,13000000,0,18198680,0.686863003250785
chr8,male map,13000000,14000000,0,18198680,0.741812043510848
chr8,male map,14000000,15000000,0,18198680,0.796761083770911
chr8,male map,15000000,16000000,0,18198680,0.851710124030974
chr8,male map,16000000,17000000,1.36,18198680,0.906659164291037
chr8,male map,17000000,18000000,0,18198680,0.961608204551099
chr1,male map,48000000,49000000,0,54558368,0.888956209247315
chr1,female map,48000000,49000000,0,54558368,0.888956209247315
chr2,male map,13000000,14000000,0,42067943,0.320909439284921
